schedule_date,schedule_season,schedule_week,team_home,score_home,score_away,team_away,spread_favorite,home_win,away_win,favorite,underdog,score_favorite,score_underdog,season_total_points_for _favorite,season_total_points_against_favorite,season_total_points_for _underdog,season_total_points_against_underdog,win_percentage_favorite,win_percentage_underdog,favorite_win
9/10/2015,2015,1,NE,28,21,PIT,-7.0,1,0,NE,PIT,28,21,28,21,21,28,1,0,1
9/13/2015,2015,1,ARI,31,19,NO,-2.5,1,0,ARI,NO,31,19,31,19,19,31,1,0,1
9/13/2015,2015,1,BUF,27,14,IND,-1.0,1,0,IND,BUF,14,27,14,27,27,14,0,1,0
9/13/2015,2015,1,CHI,23,31,GB,-6.5,0,1,GB,CHI,31,23,31,23,23,31,1,0,1
9/13/2015,2015,1,DAL,27,26,NYG,-7.0,1,0,DAL,NYG,27,26,27,26,26,27,1,0,1
9/13/2015,2015,1,DEN,19,13,BAL,-4.5,1,0,DEN,BAL,19,13,19,13,13,19,1,0,1
9/13/2015,2015,1,HOU,20,27,KC,-1.0,0,1,KC,HOU,27,20,27,20,20,27,0,0,1
9/13/2015,2015,1,JAX,9,20,CAR,-3.0,0,1,CAR,JAX,20,9,20,9,9,20,0,0,1
9/13/2015,2015,1,NYJ,31,10,CLE,-3.5,1,0,NYJ,CLE,31,10,31,10,10,31,0,0,1
9/13/2015,2015,1,OAK,13,33,CIN,-3.0,0,1,OAK,CIN,13,33,13,33,33,13,0,0,0
9/13/2015,2015,1,LAC,33,28,DET,-3.5,1,0,LAC,DET,33,28,33,28,28,33,0,0,1
9/13/2015,2015,1,LAR,34,31,SEA,-3.5,1,0,SEA,LAR,31,34,31,34,34,31,0,0,0
9/13/2015,2015,1,TB,14,42,TEN,-3.0,0,1,TB,TEN,14,42,14,42,42,14,0,0,0
9/13/2015,2015,1,WAS,10,17,MIA,-4.0,0,1,MIA,WAS,17,10,17,10,10,17,0,0,1
9/14/2015,2015,1,ATL,26,24,PHI,-3.0,1,0,PHI,ATL,24,26,24,26,26,24,0,0,0
9/14/2015,2015,1,SF,20,3,MIN,-2.5,1,0,MIN,SF,3,20,3,20,20,3,0,0,0
9/17/2015,2015,2,KC,24,31,DEN,-3.0,0,1,KC,DEN,24,31,51,51,50,37,0,0,0
9/20/2015,2015,2,BUF,32,40,NE,-1.0,0,1,BUF,NE,32,40,59,54,68,53,0,0,0
9/20/2015,2015,2,CAR,24,17,HOU,-3.0,1,0,CAR,HOU,24,17,44,26,37,51,0,0,1
9/20/2015,2015,2,CHI,23,48,ARI,-2.0,0,1,ARI,CHI,48,23,79,42,46,79,0,0,1
9/20/2015,2015,2,CIN,24,19,LAC,-3.5,1,0,CIN,LAC,24,19,57,32,52,52,0,0,1
9/20/2015,2015,2,CLE,28,14,TEN,-1.0,1,0,TEN,CLE,14,28,56,42,38,45,0,0,0
9/20/2015,2015,2,GB,27,17,SEA,-3.0,1,0,GB,SEA,27,17,58,40,48,61,0,0,1
9/20/2015,2015,2,JAX,23,20,MIA,-6.0,1,0,MIA,JAX,20,23,37,33,32,40,0,0,0
9/20/2015,2015,2,MIN,26,16,DET,-2.5,1,0,MIN,DET,26,16,29,36,44,59,0,0,1
9/20/2015,2015,2,NO,19,26,TB,-9.0,0,1,NO,TB,19,26,38,57,40,61,0,0,0
9/20/2015,2015,2,NYG,20,24,ATL,-2.0,0,1,NYG,ATL,20,24,46,51,50,44,0,0,0
9/20/2015,2015,2,OAK,37,33,BAL,-6.0,1,0,BAL,OAK,33,37,46,56,50,66,0,0,0
9/20/2015,2015,2,PHI,10,20,DAL,-6.5,0,1,PHI,DAL,10,20,34,46,47,36,0,0,0
9/20/2015,2015,2,PIT,43,18,SF,-6.0,1,0,PIT,SF,43,18,64,46,38,46,0,0,1
9/20/2015,2015,2,WAS,24,10,LAR,-3.0,1,0,LAR,WAS,10,24,44,55,34,27,0,0,0
9/21/2015,2015,2,IND,7,20,NYJ,-6.0,0,1,IND,NYJ,7,20,21,47,51,17,0,0,0
9/24/2015,2015,3,NYG,32,21,WAS,-3.0,1,0,NYG,WAS,32,21,78,72,55,59,0,0,1
9/27/2015,2015,3,ARI,47,7,SF,-7.0,1,0,ARI,SF,47,7,126,49,45,93,0,0,1
9/27/2015,2015,3,BAL,24,28,CIN,-1.5,0,1,BAL,CIN,24,28,70,84,85,56,0,0,0
9/27/2015,2015,3,CAR,27,22,NO,-9.5,1,0,CAR,NO,27,22,71,48,60,84,0,0,1
9/27/2015,2015,3,CLE,20,27,OAK,-3.5,0,1,CLE,OAK,20,27,58,72,77,86,0,0,0
9/27/2015,2015,3,DET,12,24,DEN,-3.0,0,1,DEN,DET,24,12,74,49,56,83,0,0,1
9/27/2015,2015,3,HOU,19,9,TB,-6.0,1,0,HOU,TB,19,9,56,60,49,80,0,0,1
9/27/2015,2015,3,MIA,14,41,BUF,-1.0,0,1,MIA,BUF,14,41,51,74,100,68,0,0,0
9/27/2015,2015,3,MIN,31,14,LAC,-2.0,1,0,MIN,LAC,31,14,60,50,66,83,0,0,1
9/27/2015,2015,3,NE,51,17,JAX,-14.0,1,0,NE,JAX,51,17,119,70,49,91,0,0,1
9/27/2015,2015,3,NYJ,17,24,PHI,-3.0,0,1,NYJ,PHI,17,24,68,41,58,63,0,0,0
9/27/2015,2015,3,SEA,26,0,CHI,-16.5,1,0,SEA,CHI,26,0,74,61,46,105,0,0,1
9/27/2015,2015,3,LAR,6,12,PIT,-1.0,0,1,LAR,PIT,6,12,50,67,76,52,0,0,0
9/27/2015,2015,3,TEN,33,35,IND,-3.5,0,1,IND,TEN,35,33,56,80,89,77,0,0,1
9/28/2015,2015,3,GB,38,28,KC,-5.5,1,0,GB,KC,38,28,96,68,79,89,0,0,1
10/1/2015,2015,4,PIT,20,23,BAL,-3.0,0,1,BAL,PIT,23,20,93,104,96,75,0,0,1
10/4/2015,2015,4,ARI,22,24,LAR,-7.0,0,1,ARI,LAR,22,24,148,73,74,89,0,0,0
10/4/2015,2015,4,ATL,48,21,HOU,-4.5,1,0,ATL,HOU,48,21,98,65,77,108,0,0,1
10/4/2015,2015,4,BUF,10,24,NYG,-6.0,0,1,BUF,NYG,10,24,110,92,102,82,0,0,0
10/4/2015,2015,4,CHI,22,20,OAK,-3.0,1,0,OAK,CHI,20,22,97,108,68,125,0,0,0
10/4/2015,2015,4,CIN,36,21,KC,-3.5,1,0,CIN,KC,36,21,121,77,100,125,0,0,1
10/4/2015,2015,4,DEN,23,20,MIN,-7.0,1,0,DEN,MIN,23,20,97,69,80,73,0,0,1
10/4/2015,2015,4,IND,16,13,JAX,-4.0,1,0,IND,JAX,16,13,72,93,62,107,0,0,1
10/4/2015,2015,4,MIA,14,27,NYJ,-2.5,0,1,NYJ,MIA,27,14,95,55,65,101,0,0,1
10/4/2015,2015,4,NO,26,20,DAL,-3.0,1,0,NO,DAL,26,20,86,104,67,62,0,0,1
